Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:54.48,NICK FOSTER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1202
3:54.48,CATHAL DOYLE,IRL,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1143
3:54.56,TSHEPO TSHITE,RSA,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1201
3:54.58,SAMUEL PRAKEL,USA,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1142
3:54.61,RONAN MCMAHON-STAGGS,IRL,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1142
3:54.62,ABEL TEFFRA,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1200
3:54.63,JACKSON SHARP,AUS,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1141
3:54.81,NOAH BALTUS,NED,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1198
3:54.82,LUCAS BONS,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1197
3:54.82,MIKE FOPPEN,NED,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1197
3:54.84,RYOMA AOKI,JPN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1197
3:55.01,CHARLES GRETHEN,LUX,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1195
3:55.07,ARCHIE DAVIS,GBR,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1136
3:55.09,PARKER WOLFE,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1194
3:55.09,SAMUEL PRAKEL,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1194
3:55.11,SAMUEL TANNER,NZL,"Cooks Gardens, Whanganui (NZL)",Mile,27 JAN 2024,1135
3:55.17,ISAAC UPDIKE,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1193
3:55.20,JYE EDWARDS,AUS,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1134
3:55.39,STEVEN JACKSON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1190
3:55.41,PARVEJ KHAN,IND,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1190
3:55.42,RUBEN VERHEYDEN,BEL,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1189
3:55.46,ABRAHAM ALVARADO,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1189
3:55.49,ADAM SPENCER,AUS,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1131
3:55.52,BRIAN MUANGE MUSAU,KEN,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1188
3:55.53,MATT STRANGIO,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1130
3:55.53,JOHN GREGOREK,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1188
3:55.53,JACK SALISBURY,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1188
3:55.71,SEAN DONOGHUE,IRL,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1128
3:55.80,FOSTER MALLECK,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1184
3:55.80,JOE WASKOM,USA,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1127
3:55.85,CHARLIE O'DONOVAN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1184
3:55.88,RYOMA AOKI,JPN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1183
3:55.93,YASIN SADO,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1183
3:55.94,VINCENT CIATTEI,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1183
3:55.96,YOHANES ASMARE,ETH,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1182
3:55.96,CAMDEN MARSHALL,USA,"Gately Indoor TF Center, Chicago, IL (USA) (i)",Mile,09 FEB 2024,1182
3:56.04,KIPKEMBOI LABAN KIPTUM,KEN,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1181
3:56.04,BEN VEATCH,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1124
3:56.06,BRETT MEYER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1181
3:56.11,HENRY MCLUCKIE,GBR,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1123
3:56.15,GARY MARTIN,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,24 FEB 2024,1180
3:56.15,OSSAMA MESLEK,ITA,"Oxford University Track, Oxford (GBR)",Mile,06 MAY 2024,1122
3:56.16,CALLUM DAVIES,AUS,"Cooks Gardens, Whanganui (NZL)",Mile,27 JAN 2024,1122
3:56.23,EVAN DORENKAMP,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1179
3:56.24,MARCO LANGON,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1179
3:56.28,KASEY KNEVELBAARD,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1178
3:56.30,BENOIT CAMPION,FRA,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1178
3:56.33,ABEL TEFFRA,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1177
3:56.37,STEVEN JACKSON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1177
3:56.37,KASEY KNEVELBAARD,USA,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1119
3:56.38,SAM ELLIS,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1119
3:56.38,MIGUEL COCA,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1119
3:56.43,AUSTEN DALQUIST,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,16 FEB 2024,1176
3:56.46,ROB NAPOLITANO,PUR,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1176
3:56.46,BEN VEATCH,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1176
3:56.56,HENRY MCLUCKIE,GBR,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1117
3:56.63,JESSE HAMLIN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1174
3:56.64,PARVEJ KHAN,IND,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1173
3:56.77,AUSTIN MILLER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1172
3:56.83,HILLARY CHERUIYOT,KEN,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,16 FEB 2024,1171
3:56.89,OLIN HACKER,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1113
3:56.90,SEAN DONOGHUE,IRL,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1113
3:56.94,JOE WASKOM,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,23 FEB 2024,1112
3:56.94,CALLUM DAVIES,AUS,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1112
3:56.97,AUSTEN DALQUIST,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1169
3:57.00,FOSTER MALLECK,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1169
3:57.00,CAMERON PROCEVIAT,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1169
3:57.01,PARKER SCHNEIDER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1169
3:57.03,CALLUM ELSON,GBR,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1168
3:57.03,JONATHAN GRAHN,SWE,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1168
3:57.06,JASON CLAYTON,AUS,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1111
3:57.08,ADAM SPENCER,AUS,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1168
3:57.11,PAUL ROBINSON,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1167
3:57.13,JOE WASKOM,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1167
3:57.13,PARVEJ KHAN,IND,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1167
3:57.14,NICK DAHL,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1110
3:57.14,CHARLIE O'DONOVAN,IRL,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1110
3:57.18,AIDAN RYAN,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1109
3:57.19,PIERS COPELAND,GBR,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1109
3:57.20,TYLER WIRTH,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1166
3:57.21,ISTVÁN SZÖGI,HUN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1166
3:57.23,CAMDEN GILMORE,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1166
3:57.25,MATTHEW WILKINSON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1165
3:57.25,RYAN ADAMS,MEX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1165
3:57.26,JAMES DUNNE,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1165
3:57.27,PAUL ROBINSON,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1165
3:57.28,BRETT MEYER,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1108
3:57.29,GARY MARTIN,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1165
3:57.31,KANG NYOAK,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1165
3:57.31,PARKER STOKES,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1165
3:57.32,AHMED MUHUMED,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1108
3:57.43,BENJAMIN GODISH,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1163
3:57.60,PAUL RYAN,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1161
3:57.62,CALEB WEBB,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1104
3:57.70,MACAULEY FRANKS,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1103
3:57.71,JAMES YOUNG,GBR,"Oxford University Track, Oxford (GBR)",Mile,06 MAY 2024,1103
3:57.72,DREW GRIFFITH,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1103
3:57.73,ETHAN STRAND,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1159
3:57.75,FOSTER MALLECK,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1159
3:57.77,AUSTEN DALQUIST,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1102
3:57.81,ANAS LAGTIY CHAOUDAR,ESP,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1102
3:57.85,NICK FOSTER,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1158
3:57.88,MARCO LANGON,USA,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",Mile,20 JAN 2024,1157
3:57.88,JACK SALISBURY,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1101
3:57.91,JACK ANSTEY,AUS,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1100
3:57.94,CHARLIE O'DONOVAN,IRL,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1100
3:57.95,BENJAMIN ALLEN,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1156
3:57.96,PIERS COPELAND,GBR,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1100
3:57.97,ROB NAPOLITANO,PUR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1156
3:57.98,JAKE GILLUM,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1099
3:58.00,DAVIS BOVE,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1099
3:58.02,DAELEN ACKLEY,USA,"Gately Indoor TF Center, Chicago, IL (USA) (i)",Mile,09 FEB 2024,1155
3:58.02,THOMAS KEEN,GBR,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1099
3:58.02,MAX WHARTON,GBR,"Mary Peters Track, Belfast (GBR)",Mile,15 JUN 2024,1099
3:58.05,JOB IJTSMA,NED,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1099
3:58.07,THOMAS MORAN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1155
3:58.07,SEAN DONOGHUE,IRL,"Gately Indoor TF Center, Chicago, IL (USA) (i)",Mile,09 FEB 2024,1155
3:58.16,NATHAN MOUNTAIN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1153
3:58.18,LEO DASCHBACH,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1097
3:58.20,AUSTEN DALQUIST,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,12 JAN 2024,1153
3:58.21,RYAN ADAMS,MEX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1153
3:58.22,CHARLIE O'DONOVAN,IRL,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1153
3:58.22,AARÓN LAS HERAS,ESP,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,10 FEB 2024,1096
3:58.25,BAPTISTE MISCHLER,FRA,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",Mile,28 JAN 2024,1152
3:58.26,BEN NAGEL,USA,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",Mile,03 FEB 2024,1152
3:58.28,OISÍN Ó GAILÍN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1152
3:58.28,RYAN KINNANE,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1152
3:58.31,BRANNON KIDDER,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,13 JAN 2024,1095
3:58.34,VIVIEN HENZ,LUX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1151
3:58.34,ETHAN STRAND,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,24 FEB 2024,1151
3:58.39,WILL ANTHONY,NZL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1150
3:58.41,SAMUEL FIELD,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1150
3:58.42,ISAIAH LABRA,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,10 FEB 2024,1094
3:58.45,PAUL RYAN,USA,"Saint Louis University High School, Saint Louis, MO (USA)",Mile,30 MAY 2024,1094
3:58.50,JOHN GAY,CAN,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1093
3:58.54,KANG NYOAK,AUS,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,10 FEB 2024,1092
3:58.54,JOE EWING,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1148
3:58.56,SHANE BRACKEN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1148
3:58.57,ALEC PURNELL,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1148
3:58.57,WES PORTER,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1148
3:58.57,THOMAS MORAN,IRL,"Mary Peters Track, Belfast (GBR)",Mile,15 JUN 2024,1092
3:58.58,SHANE BRACKEN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1148
3:58.59,AUSTIN HASKETT,USA,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",Mile,19 JAN 2024,1148
3:58.60,LUCAS BONS,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1148
3:58.62,LUKE HOUSER,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1147
3:58.63,EVAN DORENKAMP,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1147
3:58.64,BENJAMIN GODISH,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1147
3:58.65,CALEB FUTTER,USA,"Loftus Sports Center, Notre Dame, IN (USA) (i)",Mile,03 FEB 2024,1091
3:58.69,CRUZ GOMEZ,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1147
3:58.69,CALLUM MORGAN,IRL,"Mary Peters Track, Belfast (GBR)",Mile,15 JUN 2024,1091
3:58.70,KEVIN ROBERTSON,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1146
3:58.73,COLIN SAHLMAN,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1146
3:58.75,GARRETT MACQUIDDY,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1146
3:58.75,WYATT HAUGHTON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1146
3:58.77,EZEKIEL ROP,KEN,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,16 FEB 2024,1146
3:58.77,ABEL TEFFRA,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1146
3:58.78,BENNE C. ANDERSON,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1145
3:58.78,STEVEN JACKSON,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,24 FEB 2024,1145
3:58.81,WIL SMITH,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1089
3:58.81,BENNE C. ANDERSON,GER,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",Mile,12 APR 2024,1089
3:58.82,GARRETT MACQUIDDY,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1089
3:58.83,JAMES DONAHUE,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1145
3:58.83,CILLIAN KIRWAN,IRL,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1089
3:58.84,JACK SALISBURY,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1145
3:58.85,MACAULEY FRANKS,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,13 JAN 2024,1089
3:58.85,NANAMI ARAI,JPN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1144
3:58.85,WES PORTER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1144
3:58.85,TIARNAN CRORKEN,GBR,"Oxford University Track, Oxford (GBR)",Mile,06 MAY 2024,1089
3:58.86,SEAN DONOGHUE,IRL,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1144
3:58.87,COLE SPROUT,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1088
3:58.91,NICK DAHL,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1144
3:58.92,FERENC SOMA KOVÁCS,HUN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1144
3:58.93,CHRISTIAN NOBLE,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1143
3:58.95,MICHAEL MIRELES,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1087
3:58.96,NICK DAHL,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1143
3:58.97,SHANE BRACKEN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1143
3:59.00,DREW GRIFFITH,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,13 JUN 2024,1087
3:59.01,CARTER SOLOMON,USA,"Loftus Sports Center, Notre Dame, IN (USA) (i)",Mile,03 FEB 2024,1087
3:59.02,KIAN DAVIS,GBR,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1142
3:59.03,KEISUKE MORITA,JPN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1142
3:59.04,LEO DASCHBACH,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1086
3:59.05,COOPER CAWTHRA,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1142
3:59.05,VINCENT MAURI,USA,"Loftus Sports Center, Notre Dame, IN (USA) (i)",Mile,03 FEB 2024,1086
3:59.07,AIDAN TROUTNER,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,08 MAR 2024,1142
3:59.09,JESSE HUNT,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",Mile,28 MAR 2024,1086
3:59.13,TYLER WIRTH,USA,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",Mile,19 JAN 2024,1141
3:59.13,JACK SALISBURY,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1141
3:59.14,JACK CRULL,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1141
3:59.19,CAMDEN GILMORE,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1140
3:59.19,MAX WHARTON,GBR,"Oxford University Track, Oxford (GBR)",Mile,06 MAY 2024,1084
3:59.20,PARVEJ KHAN,IND,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",Mile,27 JAN 2024,1140
3:59.21,MATTHEW BEAUDET,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1140
3:59.21,ETHAN COLEMAN,USA,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",Mile,03 FEB 2024,1140
3:59.21,SAM GILMAN,USA,"Gately Indoor TF Center, Chicago, IL (USA) (i)",Mile,09 FEB 2024,1140
3:59.21,KEVIN ROBERTSON,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1140
3:59.22,NICHOLAS BENDTSEN,USA,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",Mile,20 JAN 2024,1140
3:59.22,VIVIEN HENZ,LUX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1140
3:59.24,MAX DAVIES,CAN,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1139
3:59.24,JOSEPH TUFFIN,GBR,"Lee Valley Athletics Centre, London (GBR) (i)",Mile,07 FEB 2024,1139
3:59.26,NOAH KIBET,KEN,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1139
3:59.26,JACK ANSTEY,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",Mile,28 MAR 2024,1084
3:59.26,CATHAL O'REILLY,IRL,"Mary Peters Track, Belfast (GBR)",Mile,15 JUN 2024,1084
3:59.27,THOMAS BOYDEN,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1083
3:59.27,ANDREW MCGILL,GBR,"Mary Peters Track, Belfast (GBR)",Mile,15 JUN 2024,1083
3:59.31,ETHAN COLEMAN,USA,"Loftus Sports Center, Notre Dame, IN (USA) (i)",Mile,03 FEB 2024,1083
3:59.33,TYLER BILYARD,GBR,"Lee Valley Athletics Centre, London (GBR) (i)",Mile,07 FEB 2024,1138
3:59.34,MATTHEW CENTROWITZ,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1083
3:59.35,DEREK JOHNSON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,16 FEB 2024,1138
3:59.38,SPENCER PICKREN,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1082
3:59.39,WINSLOW ATKESON,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1137
3:59.41,LIAM BACK,NZL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1137
3:59.45,DAMIAN HACKETT,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1137
3:59.45,BRADLEY GIBLIN,GBR,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",Mile,12 APR 2024,1081
3:59.46,LUKE HOUSER,USA,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1081
3:59.47,CAMERON PROCEVIAT,CAN,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,24 FEB 2024,1081
3:59.48,LUKE HOUSER,USA,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1081
3:59.49,JAKE GEBHARDT,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1136
